Location,Property_Type,Bedrooms,Bathrooms,Area_sqft,Age_years,Floor,Parking,Price
Kolkata,Studio,5,6,1530,7,6,1,29515520
Ahmedabad,Independent House,5,5,2791,11,5,1,50324607
Pune,Apartment,4,4,421,11,16,2,3619384
Bangalore,Studio,4,3,3602,4,18,2,48568003
Pune,Apartment,2,1,2763,13,17,1,22908880
Hyderabad,Studio,4,5,3899,7,14,2,56623593
Mumbai,Studio,2,2,1421,5,9,1,12552432
Hyderabad,Studio,1,1,2743,15,12,1,30857971
Pune,Villa,1,1,3512,14,12,0,32429111
Mumbai,Studio,3,4,3040,7,2,2,31478349
Mumbai,Independent House,5,5,2678,8,6,0,27364923
Kolkata,Penthouse,3,3,1970,0,2,0,37428223
Bangalore,Apartment,5,5,902,13,6,2,6808127
Lucknow,Studio,5,6,1263,6,16,0,29207351
Hyderabad,Penthouse,5,6,3642,3,12,2,63512853
Delhi,Villa,5,5,3460,5,11,1,34003121
Lucknow,Studio,1,2,2637,0,0,0,43415945
Chennai,Independent House,1,1,3696,18,9,2,42179263
Chennai,Apartment,4,3,2253,16,19,1,24199863
Pune,Apartment,1,2,2560,1,1,1,20214493
Kolkata,Penthouse,1,1,3874,1,11,1,61935571
Mumbai,Penthouse,4,4,597,10,15,0,7898166
Jaipur,Studio,3,3,2911,2,19,2,54852984
Bangalore,Studio,4,3,3376,7,6,1,44897704
Ahmedabad,Apartment,3,2,2920,17,9,2,31953191
Jaipur,Studio,4,3,2449,0,15,1,49110609
Pune,Penthouse,3,4,2456,8,2,2,40490250
Ahmedabad,Apartment,4,5,2048,7,3,1,24519692
Ahmedabad,Studio,3,3,1896,2,17,1,34454167
Jaipur,Studio,1,1,797,15,19,2,12861396
Bangalore,Apartment,1,2,869,13,5,1,6174736
Delhi,Penthouse,1,2,1359,0,4,0,14679712
Bangalore,Studio,3,2,3983,16,11,1,49645773
Pune,Independent House,4,3,1539,0,2,1,21485250
Jaipur,Villa,2,3,2295,13,17,2,30271911
Mumbai,Apartment,1,2,645,15,6,0,3573180
Lucknow,Villa,3,3,1320,12,6,0,18970767
Ahmedabad,Studio,3,4,1566,1,1,2,27934377
Chennai,Independent House,1,1,974,16,19,1,11013734
Pune,Apartment,5,4,1526,3,5,0,16567475
Hyderabad,Independent House,4,3,769,9,18,0,9143102
Lucknow,Villa,5,5,516,8,11,0,7828300
Mumbai,Villa,2,1,3249,15,7,0,23581448
Chennai,Penthouse,3,3,2079,18,4,1,37312125
Jaipur,Penthouse,4,3,3518,16,13,1,79669544
Lucknow,Villa,5,6,2035,0,4,2,35734502
Lucknow,Villa,5,5,3651,9,18,1,64025616
Hyderabad,Villa,1,2,1251,11,17,2,10775661
Mumbai,Apartment,5,6,3898,4,11,2,29485713
Delhi,Penthouse,3,3,2482,16,7,0,32473659
Lucknow,Villa,2,2,817,18,8,2,11355067
Ahmedabad,Studio,1,1,3468,3,9,0,51534825
Jaipur,Independent House,1,2,1971,17,16,2,27839897
Pune,Studio,1,2,1948,2,8,1,24113849
Mumbai,Apartment,4,3,1765,12,18,0,12149354
Hyderabad,Independent House,2,3,543,4,2,0,6421571
Hyderabad,Independent House,5,4,3622,15,6,0,49602559
Delhi,Studio,1,1,1353,11,16,0,13934686
Chennai,Penthouse,2,1,3393,1,4,0,54242557
Hyderabad,Apartment,1,1,1555,3,5,2,10414518
Bangalore,Penthouse,4,4,2614,9,18,2,38730448
Delhi,Studio,2,1,1294,8,6,0,13453551
Bangalore,Penthouse,4,4,904,16,0,1,14347888
Pune,Penthouse,3,2,2099,2,18,0,34238446
Delhi,Apartment,1,1,1566,0,2,2,10569201
Ahmedabad,Villa,4,4,3145,17,4,0,44506450
Hyderabad,Independent House,1,1,1328,19,12,0,13231885
Pune,Apartment,2,2,3271,17,12,0,27800846
Kolkata,Apartment,1,1,623,14,16,2,4625832
Chennai,Independent House,3,2,1884,0,1,0,26393536
Bangalore,Apartment,5,6,917,16,4,2,8412768
Kolkata,Penthouse,5,4,1113,9,18,0,24137439
Pune,Apartment,1,2,1084,12,3,1,8514774
Delhi,Studio,2,2,1073,2,17,0,11578084
Chennai,Studio,5,5,1162,16,15,2,21660522
Bangalore,Studio,2,2,1729,1,17,1,20356992
Bangalore,Villa,4,3,565,0,14,1,6185973
Pune,Penthouse,4,4,2631,16,9,0,46576190
Hyderabad,Penthouse,2,2,2500,1,12,1,34447765
Bangalore,Apartment,3,3,2335,7,3,0,18547836
Bangalore,Independent House,3,2,1071,17,18,2,11443701
Lucknow,Penthouse,5,5,3984,4,8,1,102712256
Delhi,Apartment,2,1,3544,14,14,1,23200871
Mumbai,Villa,4,3,2455,16,2,0,20092210
Hyderabad,Villa,4,5,2525,1,12,1,27861278
Delhi,Villa,3,4,3486,4,9,2,30065505
Jaipur,Apartment,2,2,3259,16,12,0,35724865
Delhi,Studio,2,3,3840,11,18,1,40877217
Jaipur,Penthouse,4,4,3791,1,12,1,85280596
Chennai,Penthouse,4,4,3290,8,2,2,62462484
Ahmedabad,Penthouse,4,5,405,1,19,2,8793762
Mumbai,Independent House,1,1,1246,10,7,1,9730988
Bangalore,Penthouse,4,3,2773,3,18,0,42035690
Mumbai,Villa,5,5,538,3,12,2,5696497
Bangalore,Apartment,2,2,660,9,11,1,5255146
Mumbai,Penthouse,1,1,3224,10,14,1,31629154
Kolkata,Independent House,1,1,2765,11,17,1,33810597
Mumbai,Studio,5,6,1272,4,13,1,14643079
Bangalore,Penthouse,5,4,3298,13,3,0,53292498
Ahmedabad,Independent House,5,5,2288,14,0,0,41314608
Mumbai,Apartment,2,2,1220,7,7,2,6175469
Bangalore,Independent House,2,3,2046,0,19,1,21339920
Kolkata,Independent House,4,3,2997,0,4,2,47747845
Lucknow,Apartment,5,6,1214,3,12,2,17500517
Ahmedabad,Penthouse,5,6,2771,11,12,1,63608082
Hyderabad,Studio,2,3,3754,4,19,2,46782369
Lucknow,Villa,3,3,2588,7,17,0,38788084
Hyderabad,Studio,5,4,2263,9,16,2,34834542
Lucknow,Apartment,3,2,3933,7,8,1,48258840
Hyderabad,Apartment,1,2,966,18,7,2,6659205
Pune,Apartment,5,4,601,19,8,2,6736623
Chennai,Villa,2,3,817,16,10,2,7663231
Bangalore,Apartment,4,4,3972,0,16,0,34289278
Delhi,Penthouse,1,2,1248,19,8,0,14154002
Hyderabad,Studio,5,4,726,0,12,1,10934328
Bangalore,Penthouse,1,1,1900,15,7,2,22909140
Delhi,Apartment,3,4,3457,1,16,1,25513408
Hyderabad,Apartment,5,6,1199,9,9,2,11681288
Delhi,Studio,1,2,454,17,6,0,5005821
Bangalore,Independent House,5,5,3208,14,4,2,39333638
Bangalore,Apartment,4,5,1687,1,2,1,14795702
Hyderabad,Studio,5,5,2916,13,15,1,45699762
Kolkata,Villa,1,2,3556,18,15,0,37716519
Delhi,Villa,1,2,3156,19,10,1,23347564
Delhi,Independent House,4,3,1204,5,8,1,12795633
Lucknow,Studio,1,1,3629,13,16,1,60913078
Bangalore,Apartment,1,1,636,6,8,1,3697241
Lucknow,Villa,5,4,3057,4,10,1,53201682
Delhi,Penthouse,2,1,3381,1,16,0,40680857
Kolkata,Penthouse,2,2,2474,5,7,1,42987018
Jaipur,Penthouse,2,1,3872,13,1,1,75097673
Hyderabad,Independent House,2,1,548,10,7,2,6083439
Hyderabad,Apartment,3,4,3191,2,1,2,27210608
Pune,Apartment,2,3,3619,18,2,2,30492018
Mumbai,Independent House,5,6,881,8,1,0,8616489
Mumbai,Apartment,5,6,2039,9,6,2,14627927
Bangalore,Villa,5,6,3949,5,1,2,43142061
Mumbai,Penthouse,1,1,1920,14,11,1,18710767
Ahmedabad,Independent House,5,4,2150,4,15,1,39054922
Jaipur,Penthouse,2,3,3759,9,15,2,73589281
Mumbai,Villa,5,5,649,6,13,2,5300471
Ahmedabad,Villa,3,4,1900,17,19,2,25720576
Bangalore,Villa,3,3,1014,16,13,2,9942167
Delhi,Independent House,5,6,3383,11,6,2,38067690
Ahmedabad,Apartment,4,3,3429,12,17,0,40938625
Delhi,Independent House,2,2,2861,12,12,1,26880455
Bangalore,Independent House,4,3,1357,16,11,0,15155615
Jaipur,Villa,1,2,3830,19,4,0,45784326
Mumbai,Independent House,5,5,775,17,3,1,7170660
Ahmedabad,Studio,4,5,2441,4,4,2,45872942
Chennai,Independent House,5,5,3624,6,19,2,57647085
Chennai,Penthouse,3,2,1789,9,10,1,31231156
Jaipur,Villa,1,1,2953,2,5,0,35791892
Mumbai,Independent House,3,3,1180,14,8,1,10452626
Pune,Villa,3,2,1351,2,8,2,15024669
Pune,Independent House,3,3,1383,14,5,2,18161224
Pune,Villa,2,2,436,15,12,0,4416515
Bangalore,Villa,3,3,2487,12,12,0,23793556
Chennai,Independent House,4,3,3018,15,8,0,44615808
Lucknow,Studio,3,3,1099,6,4,2,22144962
Lucknow,Apartment,3,4,2982,9,9,2,36942513
Delhi,Studio,2,2,988,11,6,1,10357044
Mumbai,Apartment,1,2,3313,12,2,1,18814693
Pune,Penthouse,4,4,3795,16,11,1,66825623
Mumbai,Villa,1,1,873,17,17,1,5482339
Kolkata,Penthouse,3,2,3326,14,18,2,62451325
Lucknow,Villa,2,2,1137,3,16,2,14939225
Kolkata,Penthouse,5,6,3331,1,14,1,71860729
Hyderabad,Independent House,3,4,3296,11,14,0,38378050
Jaipur,Penthouse,3,4,3728,5,14,1,79341748
Bangalore,Apartment,1,1,1694,11,15,2,11351762
Delhi,Studio,3,2,1359,11,2,1,15775336
Jaipur,Apartment,4,3,2101,15,1,2,27454011
Delhi,Independent House,5,4,3248,5,8,2,37321869
Chennai,Independent House,1,1,3035,13,14,1,35805949
Lucknow,Villa,4,3,401,0,0,0,6838641
Mumbai,Penthouse,4,4,1317,6,1,1,17493043
Delhi,Villa,2,3,827,16,7,2,6870261
Bangalore,Independent House,1,1,3544,6,8,1,33379158
Kolkata,Independent House,4,4,3785,2,8,1,59628479
Delhi,Studio,4,3,1960,12,18,1,23970486
Ahmedabad,Penthouse,5,6,2735,18,11,1,61754918
Chennai,Villa,3,3,948,8,2,1,10406750
Chennai,Apartment,4,3,3309,19,4,1,34507412
Hyderabad,Studio,2,1,3394,8,3,1,42304424
Delhi,Villa,4,4,694,9,18,2,7302974
Lucknow,Penthouse,4,5,3708,17,7,0,88456738
Ahmedabad,Studio,2,2,2781,1,4,0,45583821
Chennai,Penthouse,1,1,1925,14,13,2,29160632
Chennai,Apartment,3,2,2440,1,2,0,22920143
Pune,Apartment,4,3,3366,14,10,1,31939221
Jaipur,Apartment,5,6,3419,0,19,0,46283586
Pune,Penthouse,4,3,2752,16,11,2,48393625
Hyderabad,Villa,2,1,2958,4,19,1,27876743
Mumbai,Independent House,5,4,1482,4,0,0,16418878
Hyderabad,Penthouse,2,3,525,1,17,0,7756940
Jaipur,Independent House,2,3,3899,5,19,2,58483646
Kolkata,Villa,5,4,1414,7,5,0,20683734
Chennai,Villa,1,2,1542,10,9,1,16467507
Ahmedabad,Apartment,4,5,2263,13,3,0,26900890
Mumbai,Independent House,5,4,2808,1,17,1,29885235
Jaipur,Penthouse,1,1,3036,8,10,1,53902359
Chennai,Studio,3,3,3953,17,12,0,62061750
Mumbai,Apartment,5,6,3536,11,6,2,26324287
Pune,Independent House,4,3,1896,0,16,0,25861604
Bangalore,Villa,2,2,1426,7,15,1,12303288
Chennai,Studio,5,4,1577,11,4,1,27570663
Hyderabad,Independent House,2,3,2874,12,10,2,31469565
Pune,Studio,1,2,450,14,3,0,4845240
Hyderabad,Penthouse,4,4,2092,14,2,1,34219337
Hyderabad,Villa,2,1,3036,3,10,2,27932360
Kolkata,Apartment,2,1,2745,3,19,1,26627518
Kolkata,Apartment,4,3,1785,14,12,2,20115748
Jaipur,Villa,1,2,409,9,7,0,5984147
Lucknow,Independent House,5,5,3111,18,3,2,61727704
Hyderabad,Villa,1,2,2689,4,14,0,23211117
Bangalore,Studio,2,1,1030,16,15,0,12477892
Lucknow,Apartment,5,4,840,1,2,2,12781698
Pune,Villa,3,3,3845,6,8,0,42182380
Chennai,Villa,5,5,435,7,4,0,6474534
Hyderabad,Independent House,1,1,2314,5,8,2,23180181
Delhi,Studio,5,6,559,7,5,1,6993813
Bangalore,Studio,5,5,3730,5,1,2,52962206
Bangalore,Villa,4,4,1865,3,4,0,18134378
Jaipur,Villa,1,2,3359,11,16,2,39358763
Pune,Studio,4,3,685,19,5,1,10582595
Delhi,Apartment,5,5,1923,1,13,0,15523732
Jaipur,Penthouse,2,3,3208,8,0,2,61776275
Bangalore,Studio,2,2,710,5,2,1,8304852
Pune,Studio,2,3,960,9,5,1,12901624
Bangalore,Villa,3,4,1347,13,8,2,12013963
Delhi,Independent House,2,2,2211,17,9,0,20253131
Delhi,Apartment,5,5,1712,3,13,0,14819103
